"","V1","V2","V3","V4"
"1",0.509903841968992,5,2,6
"2",1.08264452229876,10,6,15
"3",0.48755772457182,16,15,17
"4",0.544409025754842,18,17,19
"5",0.702344761823152,22,19,26
"6",0.804793883309725,27,26,29
"7",0.345821639357507,30,29,31
"8",0.781029318865963,34,31,37
"9",0.84976555198129,40,37,41
"10",0.422130780430136,42,41,43
"11",0.631426815767862,47,43,48
"12",0.516320223449934,49,48,50
"13",0.776968283727954,51,50,55
"14",0.558126320591569,58,55,61
"15",0.621366807117897,64,61,67
"16",0.689160787327559,70,67,74
