"","finalpeaks","latexSymbol1","round.finalamplitudes..digits...4.","latexSymbol1.1","finalstarts","latexSymbol1.2","finalends","latexSymbol1.3","finaldurations","latexSymbol2"
"1",10,"&",1.0456,"&",6,"&",15,"&",9,"\\"
"2",16,"&",0.5202,"&",15,"&",17,"&",2,"\\"
"3",18,"&",0.5473,"&",17,"&",19,"&",2,"\\"
"4",22,"&",0.7374,"&",19,"&",26,"&",7,"\\"
"5",27,"&",0.7809,"&",26,"&",29,"&",3,"\\"
"6",30,"&",0.3633,"&",29,"&",31,"&",2,"\\"
"7",34,"&",0.8018,"&",31,"&",37,"&",6,"\\"
"8",40,"&",0.8183,"&",37,"&",41,"&",4,"\\"
"9",42,"&",0.4647,"&",41,"&",43,"&",2,"\\"
"10",47,"&",0.6623,"&",43,"&",48,"&",5,"\\"
"11",49,"&",0.5059,"&",48,"&",50,"&",2,"\\"
"12",51,"&",0.7618,"&",50,"&",52,"&",2,"\\"
"13",58,"&",0.585,"&",55,"&",61,"&",6,"\\"
"14",64,"&",0.6095,"&",61,"&",65,"&",4,"\\"
"15",70,"&",0.7086,"&",67,"&",74,"&",7,"\\"
