"","latexSymbol1","V2str","latexSymbol1.1","round.V1..digits...3.","latexSymbol1.2","V3str","latexSymbol1.3","V4str","latexSymbol1.4","V5","latexSymbol1.5","round.V6..digits...3.","latexSymbol2"
"1","&","Jul-15","&",1.046,"&","Mar-15","&","Dec-15","&",9,"&",2.509,"\\"
"2","&","Jan-16","&",0.52,"&","Dec-15","&","Feb-16","&",2,"&",0.595,"\\"
"3","&","Mar-16","&",0.547,"&","Feb-16","&","Apr-16","&",2,"&",0.57,"\\"
"4","&","Jul-16","&",0.737,"&","Apr-16","&","Nov-16","&",7,"&",1.726,"\\"
"5","&","Dec-16","&",0.781,"&","Nov-16","&","Feb-17","&",3,"&",0.887,"\\"
"6","&","Mar-17","&",0.363,"&","Feb-17","&","Apr-17","&",2,"&",0.606,"\\"
"7","&","Jul-17","&",0.802,"&","Apr-17","&","Oct-17","&",6,"&",1.584,"\\"
"8","&","Jan-18","&",0.818,"&","Oct-17","&","Feb-18","&",4,"&",1.165,"\\"
"9","&","Mar-18","&",0.465,"&","Feb-18","&","Apr-18","&",2,"&",0.651,"\\"
"10","&","Aug-18","&",0.662,"&","Apr-18","&","Sep-18","&",5,"&",1.343,"\\"
"11","&","Oct-18","&",0.506,"&","Sep-18","&","Nov-18","&",2,"&",0.659,"\\"
"12","&","Dec-18","&",0.762,"&","Nov-18","&","Jan-19","&",2,"&",0.7,"\\"
"13","&","Jul-19","&",0.585,"&","Apr-19","&","Oct-19","&",6,"&",1.54,"\\"
"14","&","Jan-20","&",0.609,"&","Oct-19","&","Feb-20","&",4,"&",1.124,"\\"
"15","&","Jul-20","&",0.709,"&","Apr-20","&","Nov-20","&",7,"&",1.809,"\\"
