"","V1","V2","V3","V4","V5","V6"
"1",0.189468712972111,2,1,4,3,0.501899653735452
"2",0.974189901569445,10,4,17,13,6.84828407802876
"3",0.558190968296887,18,17,19,2,0.685628379129863
"4",0.865691445645966,22,19,26,7,4.16618280472103
"5",0.728601353355958,27,26,29,3,1.58212788087628
"6",0.890093192847006,34,29,38,9,4.89394841173198
"7",0.745801983074559,40,38,41,3,2.11751971750466
"8",0.507169452085192,42,41,43,2,1.27672242820299
"9",0.558965081656682,44,43,45,2,1.51020210971644
"10",0.770331602749731,47,45,50,5,3.61156266232506
"11",0.734349091809772,51,50,52,2,1.6496532728936
"12",0.556558953974083,53,52,54,2,1.37212418994481
"13",0.673643290084881,58,54,61,7,3.89849880867088
"14",0.580070332648488,64,61,65,4,2.51030821530603
"15",0.504567429575092,66,65,67,2,1.241376597294
"16",0.784569635195078,70,67,75,8,5.01013384500799
