"","latexSymbol1","V2str","latexSymbol1.1","round.V1..digits...3.","latexSymbol1.2","V3str","latexSymbol1.3","V4str","latexSymbol1.4","V5","latexSymbol1.5","round.V6..digits...3.","latexSymbol2"
"1","&","Nov-14","&",0.189,"&","Oct-14","&","Jan-15","&",3,"&",0.502,"\\"
"2","&","Jul-15","&",0.974,"&","Jan-15","&","Feb-16","&",13,"&",6.848,"\\"
"3","&","Mar-16","&",0.558,"&","Feb-16","&","Apr-16","&",2,"&",0.686,"\\"
"4","&","Jul-16","&",0.866,"&","Apr-16","&","Nov-16","&",7,"&",4.166,"\\"
"5","&","Dec-16","&",0.729,"&","Nov-16","&","Feb-17","&",3,"&",1.582,"\\"
"6","&","Jul-17","&",0.89,"&","Feb-17","&","Nov-17","&",9,"&",4.894,"\\"
"7","&","Jan-18","&",0.746,"&","Nov-17","&","Feb-18","&",3,"&",2.118,"\\"
"8","&","Mar-18","&",0.507,"&","Feb-18","&","Apr-18","&",2,"&",1.277,"\\"
"9","&","May-18","&",0.559,"&","Apr-18","&","Jun-18","&",2,"&",1.51,"\\"
"10","&","Aug-18","&",0.77,"&","Jun-18","&","Nov-18","&",5,"&",3.612,"\\"
"11","&","Dec-18","&",0.734,"&","Nov-18","&","Jan-19","&",2,"&",1.65,"\\"
"12","&","Feb-19","&",0.557,"&","Jan-19","&","Mar-19","&",2,"&",1.372,"\\"
"13","&","Jul-19","&",0.674,"&","Mar-19","&","Oct-19","&",7,"&",3.898,"\\"
"14","&","Jan-20","&",0.58,"&","Oct-19","&","Feb-20","&",4,"&",2.51,"\\"
"15","&","Mar-20","&",0.505,"&","Feb-20","&","Apr-20","&",2,"&",1.241,"\\"
"16","&","Jul-20","&",0.785,"&","Apr-20","&",NA,"&",8,"&",5.01,"\\"
