"","V1","V2","V3","V4"
"1",0.189468712972111,2,1,4
"2",0.974189901569445,10,4,17
"3",0.558190968296887,18,17,19
"4",0.865691445645966,22,19,26
"5",0.728601353355958,27,26,29
"6",0.890093192847006,34,29,38
"7",0.745801983074559,40,38,41
"8",0.507169452085192,42,41,43
"9",0.558965081656682,44,43,45
"10",0.770331602749731,47,45,50
"11",0.734349091809772,51,50,52
"12",0.556558953974083,53,52,54
"13",0.673643290084881,58,54,61
"14",0.580070332648488,64,61,65
"15",0.504567429575092,66,65,67
"16",0.784569635195078,70,67,75
