"","V1","V2","V3","V4","V5","V6"
"1",0.621736143993646,4,2,6,4,2.47543556987187
"2",1.08007847671442,10,6,15,9,8.20003911225118
"3",0.552758058167077,16,15,17,2,0.884451389097067
"4",0.539355769490201,18,17,19,2,0.539355769490201
"5",0.644190769509276,22,19,26,7,2.70802513791029
"6",0.809385742874797,27,26,29,3,1.76690434896614
"7",0.380874544517941,30,29,31,2,0.563930167677377
"8",0.734291024506702,34,31,37,6,3.30252365538518
"9",0.859297970897563,40,37,43,6,3.68690778685834
"10",0.585125966419636,47,43,48,5,2.62438690459358
"11",0.49555958814298,49,48,50,2,1.1730350826817
"12",0.773983057058667,51,50,55,5,3.07538398533248
"13",0.523280908662362,58,55,61,6,2.81403011277648
"14",0.626970729125215,64,61,67,6,3.0286199055662
"15",0.652162134125132,70,67,74,7,3.82614533280974
