"","V1","V2","V3","V4"
"1",-11.4574862807803,2,1,4
"2",-9.98707726975831,10,4,17
"3",-10.7665752480822,18,17,19
"4",-10.1903814618587,22,19,26
"5",-10.4472606056287,27,26,29
"6",-10.1446575162199,34,29,38
"7",-10.4150300996847,40,38,41
"8",-10.8621792642395,42,41,43
"9",-10.7651247159998,44,43,45
"10",-10.3690665468568,47,45,50
"11",-10.436490504683,51,50,52
"12",-10.7696333132921,53,52,54
"13",-10.5502409158795,58,54,61
"14",-10.7255777384373,64,61,65
"15",-10.8670549288722,66,65,67
"16",-10.3423873498234,70,67,75
