"","V1","V2","V3","V4"
"1",-4.13534224776281,4,2,6
"2",-3.44223083800516,10,6,15
"3",-4.23965183231686,16,15,17
"4",-4.25991895262335,18,17,19
"5",-4.10138606253695,22,19,26
"6",-3.85157601292932,27,26,29
"7",-4.49957638205734,30,29,31
"8",-3.96513525107452,34,31,37
"9",-3.77609807371379,40,37,43
"10",-4.19070464826195,47,43,48
"11",-4.32614812420211,49,48,50
"12",-3.90511242823175,51,50,55
"13",-4.28422757230485,58,55,61
"14",-4.12742643806986,64,61,67
"15",-4.08933165828022,70,67,74
