,V1,V2,V3,V4,,,,,,,,,,
1,-4.1762259156785,4,1,5,Jan 2015,&,Oct 2014,&,Jul 2015,&,4,&,,
2,-3.47743099222192,10,5,17,Jul 2015,&,Jul 2015,&,Feb 2016,&,12,&,,
3,-4.6180865456197,18,17,19,Mar 2016,&,Feb 2016,&,Apr 2016,&,2,&,,\\
4,-4.12765823692882,22,19,26,Jul 2016,&,Apr 2016,&,Nov 2016,&,7,&,,\\
5,-4.01981510969329,27,26,29,Dec 2016,&,Nov 2016,&,Feb 2017,&,3,&,,\\
6,-4.62459181120493,30,29,31,Mar 2017 ,&,Feb 2017,&,Apr 2017,&,2,&,,
7,-4.037744889376,34,31,37,Jul 2017,&,Apr 2017,&,Oct 2017,&,6,&,,
8,-3.90159481965243,40,37,43,Jan 2018,&,Oct 2017,&,Apr 2018,&,6,&,,
9,-4.24139461416452,47,43,48,Aug 2018,&,Apr 2018,&,Sep 2018,&,5,&,,
10,-4.39390472037116,49,48,50,Oct 2017,&,Sep 2018,&,Nov 2018,&,2,&,,
11,-3.99861129677487,52,50,55,Jan 2019,&,Nov 2018,&,Apr 2019,&,5,&,,
12,-4.30043406162668,58,55,61,Jul 2019,&,Apr 2019,&,Oct 2019,&,6,&,,
13,-4.16602224309718,64,61,67,Jan 2020,&,Oct 2019,&,Apr 2020 ,&,6,&,,\\
14,-4.12744776596279,70,67,74,Jul 2020,&,Apr 2020 ,&,Oct 2020,&,7,&,,\\
